sequence,condition,mode,ate_rmse,ate_mean,ate_median,ate_std,pct_vs_clean
traj2,blur_lv1,stereo,0.005749,0.005171,0.004667,0.002513,
traj2,blur_lv2,stereo,0.006125,0.005357,0.004513,0.002969,
traj2,blur_lv3,stereo,0.006272,0.005423,0.004777,0.003152,
traj2,blur_lv4,stereo,0.006318,0.005488,0.004772,0.003130,
traj2,blur_lv5,stereo,0.007382,0.006123,0.005217,0.004124,
traj2,blur_lv5b,stereo,0.007470,0.005763,0.004815,0.004753,
traj2,blur_lv5b1,stereo,0.006512,0.005843,0.005350,0.002874,
traj2,blur_lv5b2,stereo,0.010514,0.006686,0.004925,0.008115,
traj2,blur_lv5b3,stereo,0.029500,0.017591,0.011507,0.023681,
traj2,blur_lv5b4,stereo,0.012933,0.011017,0.009247,0.006774,
traj2,blur_lv5c,stereo,FAIL,,,,
traj2,blur_lv5c1,stereo,FAIL,,,,
traj2,blur_lv5c2,stereo,FAIL,,,,
traj2,blur_lv5c3,stereo,FAIL,,,,
traj2,blur_lv5d,stereo,FAIL,,,,
traj2,blur_lv5e,stereo,FAIL,,,,
traj2,blur_lv5f,stereo,FAIL,,,,
traj2,blur_lv6,stereo,FAIL,,,,
traj2,blur_lv7,stereo,FAIL,,,,
