sequence,condition,mode,ate_rmse,ate_mean,ate_median,ate_std,pct_vs_clean
traj2,snp_lv1,stereo,0.006374,0.005629,0.005058,0.002991,
traj2,snp_lv2,stereo,0.006934,0.005857,0.005103,0.003711,
traj2,snp_lv3,stereo,0.006741,0.005907,0.005172,0.003248,
traj2,snp_lv4,stereo,0.007232,0.006138,0.005242,0.003824,
traj2,snp_lv5,stereo,0.006985,0.006081,0.005360,0.003436,
traj2,snp_lv6,stereo,0.007215,0.006152,0.005304,0.003771,
traj2,snp_lv7,stereo,0.008254,0.005846,0.004739,0.005827,
traj2,snp_lv7a1,stereo,0.007429,0.006284,0.005378,0.003961,
traj2,snp_lv7a2,stereo,0.020762,0.010795,0.007584,0.017735,
traj2,snp_lv7a3,stereo,0.006919,0.005407,0.004543,0.004316,
traj2,snp_lv7a4,stereo,0.007806,0.005937,0.004948,0.005068,
traj2,snp_lv7b,stereo,0.007361,0.005807,0.004716,0.004523,
traj2,snp_lv7c,stereo,FAIL,,,,
traj2,snp_lv7d,stereo,FAIL,,,,
traj2,snp_lv7e,stereo,FAIL,,,,
traj2,snp_lv7f,stereo,FAIL,,,,
traj2,snp_lv8,stereo,FAIL,,,,
